title,reviews_link
Trolls World Tour,https://www.imdb.com/title/tt6587640/reviews?ref_=tt_urv
The Croods: A New Age,https://www.imdb.com/title/tt2850386/reviews?ref_=tt_urv
The SpongeBob Movie: Sponge on the Run,https://www.imdb.com/title/tt4823776/reviews?ref_=tt_urv
Mulan,https://www.imdb.com/title/tt4566758/reviews?ref_=tt_urv
Bad Boys for Life,https://www.imdb.com/title/tt1502397/reviews?ref_=tt_urv
A Quiet Place Part II,https://www.imdb.com/title/tt8332922/reviews?ref_=tt_urv
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,https://www.imdb.com/title/tt7713068/reviews?ref_=tt_urv
Dolittle,https://www.imdb.com/title/tt6673612/reviews?ref_=tt_urv
Onward,https://www.imdb.com/title/tt7146812/reviews?ref_=tt_urv
The Invisible Man,https://www.imdb.com/title/tt1051906/reviews?ref_=tt_urv
Sonic the Hedgehog,https://www.imdb.com/title/tt3794354/reviews?ref_=tt_urv
Scoob!,https://www.imdb.com/title/tt3152592/reviews?ref_=tt_urv
Underwater,https://www.imdb.com/title/tt5774060/reviews?ref_=tt_urv
My Spy,https://www.imdb.com/title/tt8242084/reviews?ref_=tt_urv
Tenet,https://www.imdb.com/title/tt6723592/reviews?ref_=tt_urv
The Grudge,https://www.imdb.com/title/tt3612126/reviews?ref_=tt_urv
Fantasy Island,https://www.imdb.com/title/tt0983946/reviews?ref_=tt_urv
Spenser Confidential,https://www.imdb.com/title/tt8629748/reviews?ref_=tt_urv
The Hunt,https://www.imdb.com/title/tt8244784/reviews?ref_=tt_urv
Coffee & Kareem,https://www.imdb.com/title/tt9898858/reviews?ref_=tt_urv
Bloodshot,https://www.imdb.com/title/tt1634106/reviews?ref_=tt_urv
The Way Back,https://www.imdb.com/title/tt8544498/reviews?ref_=tt_urv
The Banker,https://www.imdb.com/title/tt6285944/reviews?ref_=tt_urv
Hooking Up,https://www.imdb.com/title/tt9815998/reviews?ref_=tt_urv
Extraction,https://www.imdb.com/title/tt8936646/reviews?ref_=tt_urv
Dreamkatcher,https://www.imdb.com/title/tt10553210/reviews?ref_=tt_urv
The New Mutants,https://www.imdb.com/title/tt4682266/reviews?ref_=tt_urv
LEGO DC Shazam!: Magic and Monsters,https://www.imdb.com/title/tt12093878/reviews?ref_=tt_urv
Soul,https://www.imdb.com/title/tt2948372/reviews?ref_=tt_urv
The Old Guard,https://www.imdb.com/title/tt7556122/reviews?ref_=tt_urv
The Witches,https://www.imdb.com/title/tt0805647/reviews?ref_=tt_urv
Project Power,https://www.imdb.com/title/tt7550000/reviews?ref_=tt_urv
The Christmas Chronicles: Part Two,https://www.imdb.com/title/tt11057644/reviews?ref_=tt_urv
Holidate,https://www.imdb.com/title/tt9866072/reviews?ref_=tt_urv
The Serpent,https://www.imdb.com/title/tt6984230/reviews?ref_=tt_urv
